"$$	Ein Literal ""$"" ersetzen"
"${pet}	Teilzeichenfolge ersetzen, die mit der benannten Gruppe ""pet"" übereinstimmt"
"(?<pet>dog|cat)	Unterausdruck ""dog|cat"" erfassen und mit ""pet"" benennen"
"(dog|cat)	Unterausdruck ""dog|cat"" erfassen und implizit nummerieren"
":q		Zeichenfolge in Anführungszeichen			((\"".+?\"")|('.+?'))"
"\k<pet>		Rückverweis auf erfassten Unterausdruck mit Namen ""pet"""
$	Kopie der gesamten Übereinstimmung ersetzen
$+	Letzte erfasste Gruppe ersetzen
$1	Teilzeichenfolge ersetzen, die mit der erfassten Gruppennummer 1 übereinstimmt
(?=\r?$)		Übereinstimmung an Zeilenende
+		Ein- oder mehrmalige Übereinstimmung mit beliebigem Zeichen (Platzhalter ?)
.		Einmalige Übereinstimmung mit beliebigem Zeichen
.*		Keine oder häufigere Übereinstimmung mit beliebigem Zeichen (Platzhalter *)
1 C:\...\ToolWindowTest.cs
1 C:\...\visual studio 2013\Projects\TestSolution\TestSolution.sln
1 Startseite
10 %
10%
100 %
100%
125 %
125%
150 %
150%
1x
200 %
200%
25 %
25%
2x
300 %
300%
33 %
33%
400 %
400%
50 %
50%
66 %
66%
6x
75 %
75%
8x
90 Grad drehen
:b		Leerzeichen oder Tabstopp			[ \t]
:d		Übereinstimmung mit beliebigem numerischen Zeichen	\d
:h		Übereinstimmung mit einer Hexadezimalzahl	\b0[xX]([0-9a-fA-F])\b
:i		C/C++ Bezeichner			\b(_\w+|[\w-[0-9_]]\w*)\b
:n		Übereinstimmung mit ganzen Zahlen und Dezimalzahlen	\b[0-9]*\.*[0-9]+\b
Abbrechen
Abbrechen und entfernen
Abfrage
Abfrage bearbeiten
Abfrage hinzufügen...
Abfrage-Designer
Abfrage...
Abfragen-Generatorbereich maximieren
Abgeleitete Typen anzeigen
Abgerundetes Rechteck
Abgerundetes Rechteck mit Rand
Abgeschlossen
Abhängige Anforderung hinzufügen
Abhängigkeit
Abhängigkeit(en) generieren
Ablageordner öffnen
Ablaufverfolgungspunkt einfügen
About KaVE
Abrufen...
Absatz...
Absatzmarken
Absolut
Absolut positioniert
Abspielen
Absteigend sortieren
Abstract Class to Interface…
Abstrakte Klasse
Abstrakte Klasse implementieren
Abstrakte Vorgänge außer Kraft setzen
Action
ActiveX-Steuerelement einfügen...
ActivityDesigner-Erweiterungsbefehle
Add Database Reference...
Add New Aggregate Function...
Add New Application Role...
Add New Assembly...
Add New Asymmetric Key...
Add New Broker Priority...
Add New Certificate...
Add New Check Constraint
Add New Contract...
Add New Credential...
Add New Cryptographic Provider...
Add New Custom Error Message...
Add New Database
Add New Database Audit Specification...
Add New Database Role...
Add New Database Trigger...
Add New Default...
Add New Event Notification...
Add New Event Session...
Add New Foreign Key
Add New Server Audit Specification...
Add New Trigger
Add-In-Manager...
Add/Remove Columns...
Aktionen...
Aktiven Container anheften
Aktiven Container anzeigen
Aktivierte Tests debuggen
Aktivierte Tests durchführen
Aktivität hinzufügen...
Aktualisieren beenden
Aktuelle Seite
Aktuelle Spalte
Aktuelle Zeile
Aktuelle bearbeiten
Aktueller Text
Alle DataTips löschen
Alle Dateien anzeigen
Alle Fenster
Alle Haltepunkte deaktivieren
Alle Haltepunkte löschen
Alle Lesezeichen im Dokument löschen
Alle Member hinzufügen
Alle Ordner synchronisieren
Alle Projektlisten neu erstellen
Alle Rahmenlinien
Alle Spalten auswählen
Alle Threads bis auf diesen einfrieren
Alle Verweise anzeigen
Alle Verweise hinzufügen
Alle Vorgänger anzeigen
Alle Vorgänger hinzufügen
Alle abgeleiteten Typen anzeigen
Alle abgeleiteten Typen hinzufügen
Alle anpassen
Alle ausblenden
Alle ausfüllen
Alle ausgehenden Verweise anzeigen
Alle automatisch ausblenden
Alle beenden
Alle eingehenden Verweise anzeigen
Alle suchen
Alle trennen
Alle zurücksetzen
Alle Überwachungen löschen
Alles anzeigen
Alles entsperren
Alles sperren
Allow SQL/CLR Debugging
Als Bild exportieren...
Als Bild speichern...
Als aktiv festlegen
Als aktuelle Sitzung festlegen
Als neuen Stamm hinzufügen
Am Raster
Am größten
Am kleinsten
Analysieren
Anforderung einfügen
Anforderung hinzufügen
Anforderung zu Bedingung hinzufügen
Anforderung zu Schleife hinzufügen
Anforderung zur Transaktion hinzufügen
Anforderungs-Plug-In einfügen...
Anforderungs-Plug-In hinzufügen...
Anfügen/Trennen
Anfügen/Trennen...
Anfügen…
Annotate Declaration Under Caret by [NotNull/CanBeNull] Attributes
Annotate!
Ansicht übergeordneter/untergeordneter Elemente
Ansichten automatisch synchronisieren
Ansichten synchronisieren
Anstehende Eincheckvorgänge
Anwendungsbereitstellung
Anzeige der Protokolle beenden
App-Manifest bearbeiten
App-Name reservieren...
App-Pakete hochladen…
