FirstCommand,SecondCommand,Count
Manage NuGet Packages...,{25FD982B-8CAE-4CBD-A440-E03FFCCDE106}:256:Project.ManageNuGetPackages,9
Quick Replace,{5EFC7975-14BC-11CF-9B2B-00AA00573819}:230:Edit.Replace,9
Save Properties\FormatStrings.resx,{5EFC7975-14BC-11CF-9B2B-00AA00573819}:331:File.SaveSelectedItems,9
Uncomment Selection,{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:137:Edit.UncommentSelection,8
Display Achievements,KaVE.BP.Achievements.AchievementWindow,8
File...,{5EFC7975-14BC-11CF-9B2B-00AA00573819}:221:File.NewFile,7
Start Debugging,{5EFC7975-14BC-11CF-9B2B-00AA00573819}:295:Debug.Start,7
Save UI\StatisticUI\StatisticWindowControl.xaml.cs,{5EFC7975-14BC-11CF-9B2B-00AA00573819}:331:File.SaveSelectedItems,7
{C9DD4A59-47FB-11D2-83E7-00C04F9902C1}:280:Debug.LocationToolbar.ThreadCombo,{C9DD4A59-47FB-11D2-83E7-00C04F9902C1}:288:Debug.LocationToolbar.StackFrameCombo,6
Detach All,{5EFC7975-14BC-11CF-9B2B-00AA00573819}:262:Debug.DetachAll,6
Open,{5EFC7975-14BC-11CF-9B2B-00AA00573819}:261:View.Open,6
Save Properties\strings.de.resx,{5EFC7975-14BC-11CF-9B2B-00AA00573819}:331:File.SaveSelectedItems,6
New Project...,{5EFC7975-14BC-11CF-9B2B-00AA00573819}:772:File.AddNewProject,6
TextControl.Left,TextControl.Right,6
Unpublish Branch,{57735D06-C920-4415-A2E0-7D6E6FBDFA99}:4116:Team.Git.SwitchBranchPublishState,6
About KaVE BP Achievements,KaVE.BP.Achievements.About,5
Optionen,KaVE.VsFeedbackGenerator.Options,5
Save UI\Collections\CompletionCollection.cs,{5EFC7975-14BC-11CF-9B2B-00AA00573819}:331:File.SaveSelectedItems,5
Existing Project...,{5EFC7975-14BC-11CF-9B2B-00AA00573819}:773:File.AddExistingProject,5
Save Util\FileHandler.cs,{5EFC7975-14BC-11CF-9B2B-00AA00573819}:331:File.SaveSelectedItems,5
Class,Template1,5
Save Achievements\Data\Achievements.xml,{5EFC7975-14BC-11CF-9B2B-00AA00573819}:331:File.SaveSelectedItems,4
Save Reset\ResetData.cs,{5EFC7975-14BC-11CF-9B2B-00AA00573819}:331:File.SaveSelectedItems,4
Attach to Process...,{5EFC7975-14BC-11CF-9B2B-00AA00573819}:213:Debug.AttachtoProcess,4
SolBuilderDuo.Debug,{6E87CFAD-6C05-4ADF-9CD7-3B7943875B7C}:257:Debug.StartDebugTarget,4
Condition...,{C9DD4A59-47FB-11D2-83E7-00C04F9902C1}:323:EditorContextMenus.CodeWindow.Breakpoint.BreakpointCondition,4
Save Calculators\GlobalCalculator.cs,{5EFC7975-14BC-11CF-9B2B-00AA00573819}:331:File.SaveSelectedItems,4
Go to Declaration,GotoDeclaration,4
Delete All Breakpoints,{5EFC7975-14BC-11CF-9B2B-00AA00573819}:256:Debug.DeleteAllBreakpoints,4
Save Actions.xml,{5EFC7975-14BC-11CF-9B2B-00AA00573819}:331:File.SaveSelectedItems,4
{C9DD4A59-47FB-11D2-83E7-00C04F9902C1}:371:Debug.OptionsandSettings,{5EFC7975-14BC-11CF-9B2B-00AA00573819}:264:Tools.Options,4
Options and Settings...,{C9DD4A59-47FB-11D2-83E7-00C04F9902C1}:371:Debug.OptionsandSettings,4
Hierarchies,TypeHierarchy.Browse,4
Save Statistics\Statistic.cs,{5EFC7975-14BC-11CF-9B2B-00AA00573819}:331:File.SaveSelectedItems,4
