AboutBox
Abstract2Interface
AddDependent
AddReferenced
AltEnter
AnalyzeReferences
AnalyzeReferences.ActionBar
AnalyzeReferences.ContextMenu
AnalyzeReferences.Filter.ShowRelatedUsages
AnalyzeReferences.Filter.ShowUnusedReferences
AnalyzeReferences.RemoveSelected
AnalyzeReferences.RemoveUnused
AnalyzeReferences.Show
AnalyzeReferences.Update
Annotator
Annotator.Annotate
Annotator.AnnotateDeclaration
Annotator.Export
Annotator.ImportContractAssembly
Annotator.ImportWinRTAssembly
Annotator.PropagateToInterface
Anonymous2Declared
ArchitectureToolbar
AssemblyExplorer.ActionBar
AssemblyExplorerAddFolder
AssemblyExplorerAddItem
AssemblyExplorerAddToRoot
AssemblyExplorerContextMenu
AssemblyExplorerExportToProject
AssemblyExplorerLoadNode
AssemblyExplorerOpenResource
AssemblyExplorerOpenResourceWith
AssemblyExplorerRemoveAssemblyNodes
AssemblyExplorerSaveResource
AssemblyExplorerUnloadNode
BlockComment
Bookmarks
Bookmarks.BookmarksMenu
Bookmarks.ClearAll
Bookmarks.ClearInDocument
Bookmarks.GoToBookmark0
Bookmarks.GoToBookmark1
Bookmarks.GoToBookmark2
Bookmarks.GoToBookmark3
Bookmarks.GoToBookmark4
Bookmarks.GoToBookmark5
Bookmarks.GoToBookmark6
Bookmarks.GoToBookmark7
Bookmarks.GoToBookmark8
Bookmarks.GoToBookmark9
Bookmarks.ToggleBookmark0
Bookmarks.ToggleBookmark1
Bookmarks.ToggleBookmark2
Bookmarks.ToggleBookmark3
Bookmarks.ToggleBookmark4
Bookmarks.ToggleBookmark5
Bookmarks.ToggleBookmark6
Bookmarks.ToggleBookmark7
Bookmarks.ToggleBookmark8
Bookmarks.ToggleBookmark9
Build
BuildArchitectureGraph
BuildTemplateFromSelection
CallHierarchy.ContextMenu
CallHierarchy.ShowIncomingCalls
CallHierarchy.ShowOutgoingCalls
ChangeSignature
ClassFromParameters
CleanupCode
ClearWorkspace
CloseAll.CloseAll
CloseAll.CloseAllButPinned
CloseAll.CloseAllButThis
CloseAll.CloseThis
CloseAll.Group
CodeStructure.ActionBar
CodeStructure.ContextMenu
CodeStructure.Enregion
CodeStructure.SynchronizeCaretToView
CodeStructure.SynchronizeViewToCaret
Collapse
CollapseGraph
CollapseInSolutionExplorer
CompactLOH
CompleteCodeBasic
CompleteCodeSmart
CompleteCodeTypeName
CompleteStatement
Constructor2FactoryMethodAction
CopyItemFullPath
CopyLayerToLayer
CopyLayerToLayer.Item.00
CopyLayerToLayer.Item.01
CopyLayerToLayer.Item.02
CopyLayerToLayer.Item.03
CopyLayerToLayer.Item.04
CopyLayerToLayer.Item.05
CopyLayerToLayer.Item.06
CopyLayerToLayer.Item.07
CopyLayerToLayer.Item.08
CopyLayerToLayer.Item.09
